Position;Attempt;7M;6M;9M;WING;PIVOT;FASTBREAK
CB;0;0.35483834;0.35483834;0.35483834;0.35483834;0.35483834;0.35483834
CB;1;0.553275;0.99659216;0.72550094;0.379613;0.4948673;0.6721129
CB;2;0.8358573;1.8399843;1.2376193;0.45452282;0.7046794;1.0844793
CB;3;1.1889256;2.8014748;1.8560396;0.56069314;0.93684065;1.548529
CB;4;1.5680176;3.7217028;2.4929328;0.6746806;1.1493806;1.9851284
CB;5;1.9025258;4.402346;3.0220242;0.77673995;1.317072;2.2987
CB;6;2.1155686;4.6740565;3.3174536;0.8557693;1.4333292;2.4105875
CB;7;2.1523807;4.4645877;3.3020537;0.90964186;1.5049163;2.29096
CB;8;2.00309;3.8298585;2.979959;0.9422952;1.5443264;1.9716787
LB;0;0.012766123;0.012766123;0.012766123;0.012766123;0.012766123;0.012766123
LB;1;0.29026455;0.739169;0.6766082;-0.011648178;0.4056874;0.30876046
LB;2;0.62722194;1.6400908;1.5230998;-0.052965403;0.8092533;0.6972828
LB;3;0.976627;2.5988183;2.3764515;-0.10148454;1.1431589;1.1395805
LB;4;1.269852;3.4341762;3.1045282;-0.14781046;1.3278174;1.5621095
LB;5;1.4375032;3.9526265;3.6454418;-0.18565369;1.3149531;1.8736479
LB;6;1.4358896;4.020383;4.0005274;-0.2127161;1.1080186;1.9966118
LB;7;1.2654442;3.6192653;4.2082543;-0.22986722;0.76069814;1.8982947
LB;8;0.9705366;2.8545878;4.317136;-0.23957205;0.35437387;1.6049373
RB;0;0.18639976;0.18639976;0.18639976;0.18639976;0.18639976;0.18639976
RB;1;0.7362849;0.8521593;0.7202596;0.39860708;0.34445834;0.34441406
RB;2;1.4381835;1.6161551;1.4235346;0.528354;0.52522033;0.56292015
RB;3;2.2113724;2.3340297;2.2275233;0.5420912;0.6989422;0.8270408
RB;4;2.91824;2.9128056;2.9998155;0.43613178;0.82833236;1.0993818
RB;5;3.4003515;3.3218968;3.5745516;0.23825175;0.8812657;1.3260357
RB;6;3.535304;3.5783777;3.8089972;-0.004088104;0.8436768;1.4531349
RB;7;3.2869992;3.7220209;3.6408525;-0.2421112;0.7256059;1.4474937
RB;8;2.7212563;3.7942157;3.115025;-0.44104272;0.5568612;1.3106264
LW;0;0.025062323;0.025062323;0.025062323;0.025062323;0.025062323;0.025062323
LW;1;0.7351363;0.56309485;-0.037554026;0.7421839;0.5914664;0.7615857
LW;2;1.5284374;1.0629456;-0.093888044;1.5258362;1.0014169;1.5814846
LW;3;2.259763;1.414007;-0.13768744;2.2367308;1.152291;2.3417883
LW;4;2.8401337;1.5277264;-0.16765428;2.7933323;1.00389;2.8739972
LW;5;3.2445977;1.3737376;-0.18588042;3.1765606;0.5957637;3.0437622
LW;6;3.494866;0.9929712;-0.19579673;3.411023;0.030161858;2.8057404
LW;7;3.6332853;0.4800594;-0.20064282;3.5393083;-0.5693917;2.223179
LW;8;3.7020175;-0.054686785;-0.20277667;3.6023467;-1.1010942;1.4407358
RW;0;0.065614164;0.065614164;0.065614164;0.065614164;0.065614164;0.065614164
RW;1;0.5318145;0.50040215;0.1802041;0.67808646;0.37477094;0.6735496
RW;2;1.208013;0.98062485;0.26991242;1.4751899;0.75394136;1.4037678
RW;3;2.0703647;1.4212441;0.31284112;2.2890673;1.1519794;2.1508267
RW;4;3.019284;1.7237768;0.29765457;2.9904182;1.4920769;2.7652972
RW;5;3.8855402;1.8115222;0.22842234;3.5159962;1.6945252;3.1003034
RW;6;4.4747562;1.6610172;0.12285465;3.8637526;1.706799;3.068155
RW;7;4.637252;1.3121822;0.00497359;4.068715;1.5256033;2.6774814
RW;8;4.3295555;0.85119504;-0.10365862;4.1769195;1.1983047;2.0294855
P;0;0.16640592;0.16640592;0.16640592;0.16640592;0.16640592;0.16640592
P;1;0.4444332;0.3915267;0.18007767;0.16524982;1.158318;0.5358269
P;2;0.7468698;0.61754227;0.1946019;0.16431355;2.3567681;0.9186833
P;3;1.0186324;0.80975676;0.2075038;0.1636492;3.5918393;1.2524265
P;4;1.1980276;0.95215917;0.21742725;0.16323113;4.6188793;1.5050228
P;5;1.239218;1.0453999;0.2241509;0.16299605;5.1936965;1.6736779
P;6;1.1311703;1.0998139;0.22820294;0.16287756;5.166179;1.7739326
P;7;0.90243244;1.1282687;0.2303884;0.16282368;4.543714;1.8272946
P;8;0.60893464;1.1416504;0.23144746;0.16280174;3.4879818;1.8528246
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
