Player Name;Team Position;Position;7M Save;6M Save;9M Save;Wing Save;Pivot Save;Fastbreak Save
Landin Jacobsen Niklas;THW;GK;0;1;8;1;1;0
Ruminsky Mario;HBW;GK;0;4;4;1;1;0
Quenstedt Dario;THW;GK;0;0;0;1;0;0
Sejr Jensen Simon;HBW;GK;0;0;0;0;0;0
Johannesson Peter;TBV;GK;1;3;6;2;2;2
Heinevetter Silvio;MTM;GK;0;0;3;2;0;0
Simic Nebojsa;MTM;GK;1;0;1;0;0;0
Zecher Finn;TBV;GK;0;0;0;0;0;0
Birlehm Joel;LEI;GK;0;0;10;0;2;0
Ferlin Klemen;HCE;GK;2;0;5;2;1;0
Ziemer Martin;HCE;GK;0;0;0;0;0;0
Saeveraas Kristian Skinstad;LEI;GK;0;0;0;0;0;0
Møller Kevin;SGF;GK;0;5;6;3;0;1
Semisch Malte;GWD;GK;0;2;0;2;0;0
Lichtlein Carsten;GWD;GK;1;0;0;1;0;0
Buric Benjamin;SGF;GK;0;0;0;0;0;0
Rebmann Daniel;FAG;GK;0;0;4;5;1;0
Bitter Johannes;HSV;GK;1;2;2;3;0;0
Kastelic Urh;FAG;GK;0;1;2;1;1;1
Vortmann Jens;HSV;GK;0;0;0;0;0;0
Green Krejberg Jannick;SCM;GK;1;1;2;2;0;1
Jensen Mike;SCM;GK;0;1;5;0;0;0
Thulin Tobias;TVB;GK;0;1;1;1;1;0
Prost Primoz;TVB;GK;1;0;2;0;0;0
Palicka Andreas;RNL;GK;0;1;1;4;2;2
Ebner Domenico;HAN;GK;0;2;4;1;0;0
Lesjak Urban;HAN;GK;0;0;0;1;1;0
Spath David;RNL;GK;0;0;1;0;0;0
Milosavljev Dejan;BER;GK;0;3;7;2;2;0
Klimpke Till;WET;GK;0;3;4;1;1;1
Genz Fredrik;BER;GK;0;0;0;0;0;0
Suljakovic Anadin;WET;GK;0;0;0;0;0;0
Rudeck Christopher;BHC;GK;0;2;8;1;2;0
Rezar Aljosa;NLB;GK;1;0;6;0;0;0
Asheim Havard;NLB;GK;0;0;3;0;0;0
Mrkva Tomas;BHC;GK;0;0;0;0;0;0
Møller Kevin;SGF;GK;0;4;4;1;2;0
Ferlin Klemen;HCE;GK;0;2;4;1;1;1
Ziemer Martin;HCE;GK;0;0;0;1;0;0
Buric Benjamin;SGF;GK;0;0;0;0;0;0
Ruminsky Mario;HBW;GK;2;4;6;0;2;2
Semisch Malte;GWD;GK;1;2;5;1;1;1
Lichtlein Carsten;GWD;GK;0;0;0;0;0;0
Sejr Jensen Simon;HBW;GK;0;0;0;0;0;0
Landin Jacobsen Niklas;THW;GK;1;4;7;3;0;0
Simic Nebojsa;MTM;GK;0;5;4;2;2;0
Heinevetter Silvio;MTM;GK;0;0;0;0;0;0
Quenstedt Dario;THW;GK;0;0;0;0;0;0
Palicka Andreas;RNL;GK;1;3;1;2;1;0
Green Krejberg Jannick;SCM;GK;0;1;3;0;3;0
Jensen Mike;SCM;GK;1;0;1;2;0;0
Spath David;RNL;GK;0;0;0;0;0;0
Milosavljev Dejan;BER;GK;1;2;3;0;0;1
Birlehm Joel;LEI;GK;0;3;1;0;1;1
Genz Fredrik;BER;GK;1;0;0;0;0;0
Saeveraas Kristian Skinstad;LEI;GK;0;0;0;0;0;0
Klimpke Till;WET;GK;0;6;9;4;1;1
Johannesson Peter;TBV;GK;0;2;2;1;0;0
Zecher Finn;TBV;GK;0;1;1;0;0;0
Suljakovic Anadin;WET;GK;0;0;0;0;0;0
