Team,7M Shot,6M Shot,9M Shot,Wing Shot,Pivot Shot,Fastbreak Shot
SCM,167,431,329,223,170,148
THW,158,374,486,200,217,134
BER,131,376,356,176,170,126
SGF,128,283,419,255,185,101
FAG,142,392,312,237,177,130
TBV,119,405,403,218,154,134
WET,107,414,404,197,169,133
MTM,121,393,443,188,123,78
LEI,112,307,383,198,183,143
RNL,122,346,380,239,206,103
BHC,82,386,514,184,181,85
HCE,126,275,470,149,219,143
HAN,99,462,308,202,160,96
HSV,139,355,374,190,186,82
TVB,122,370,447,219,201,119
GWD,109,485,367,223,116,137
HBW,99,289,500,191,174,98
NLB,86,376,402,180,151,77
