Player Name,Team,7M Goal,7M Shot,6M Goal,6M Shot,9M Goal,9M Shot,Wing Goal,Wing Shot,Pivot Goal,Pivot Shot,Fastbreak Goal,Fastbreak Shot
Abutovic Ilija,RNL,0,0,0,0,0,0,0,0,0,0,0,0
Adam Frederik,SGF,0,0,0,0,0,0,0,0,0,0,0,0
Ahouansou Philipp,RNL,0,0,24,30,18,35,0,0,0,0,1,1
Allendorf Michael,MTM,0,1,2,5,0,2,21,29,2,3,5,6
Andersen Frederik Bo,HSV,0,0,2,3,2,2,28,51,0,0,13,15
Andersson Lasse Bredekjaer,BER,0,0,37,63,71,152,0,0,0,0,9,12
Arnarsson Arnar Freyr,MTM,0,0,1,2,0,0,0,0,33,46,0,0
Arnesson Linus,BHC,51,60,33,71,28,80,0,0,5,9,3,4
Augustinussen Sebastian,TVB,0,0,2,4,1,3,27,53,2,2,2,4
Axmann Dominik,HSV,0,0,20,25,9,18,0,1,0,0,2,2
Ayar Koray,HAN,0,0,0,0,0,0,0,0,0,0,0,0
Babak Tomas,BHC,0,0,40,64,17,40,0,0,0,0,1,1
Bacani Nico,TVB,0,0,0,0,0,0,1,1,0,0,0,0
Bagersted Jacob,FAG,0,0,2,2,0,0,0,0,39,49,8,9
Battermann Ben Connar,THW,0,0,0,0,0,1,0,0,0,0,0,1
Bauder Tim,HCE,0,0,0,0,0,0,0,0,0,0,0,0
Bauer Philipp,HSV,0,0,48,69,16,51,1,1,2,2,1,1
Baumgart Luka,SCM,0,0,0,0,0,0,0,0,0,0,0,0
Baumgartner Florian,NLB,0,0,14,24,29,89,1,2,0,0,1,1
Beciri Kristian,HBW,0,0,0,2,0,0,0,1,32,47,0,0
Beekmann Ben,MTM,0,0,0,0,0,0,0,0,0,0,0,0
Beneke Max Christoph,BER,0,0,6,7,8,11,0,0,0,0,0,0
Bergemann Thies,HSV,0,0,2,3,0,3,30,44,0,0,9,10
Bergner Tom,BHC,0,0,0,1,0,0,0,0,15,22,0,0
Bezjak Marko,SCM,0,0,30,42,4,5,0,0,4,4,5,6
Bialowas Yannik,HCE,0,0,0,0,0,0,0,0,0,0,0,0
Bilyk Nikola,THW,0,0,21,28,26,53,1,1,0,1,2,3
Binder Lukas,LEI,0,0,9,11,0,0,55,89,11,13,39,45
Bissel Christopher,HCE,0,0,5,7,2,2,30,49,11,12,30,37
