Team,7M Goal,7M Shot,6M Goal,6M Shot,9M Goal,9M Shot,Wing Goal,Wing Shot,Pivot Goal,Pivot Shot,Fastbreak Goal,Fastbreak Shot
BER,120,131,264,376,155,356,126,176,129,170,98,126
BHC,63,82,224,386,209,514,122,184,138,181,66,85
FAG,112,142,268,392,131,312,145,237,136,177,106,130
GWD,74,109,310,485,156,367,130,223,73,116,106,137
HAN,61,99,291,462,128,308,113,202,118,160,80,96
HBW,76,99,176,289,194,500,129,191,125,174,76,98
HCE,96,126,179,275,213,470,94,149,164,219,124,143
HSV,105,139,230,355,160,374,120,190,140,186,70,82
LEI,76,112,185,307,156,383,126,198,142,183,119,143
MTM,92,121,258,393,195,443,119,188,95,123,64,78
NLB,64,86,233,376,142,402,114,180,107,151,65,77
RNL,98,122,219,346,158,380,152,239,153,206,85,103
SCM,123,167,318,431,157,329,144,223,136,170,139,148
SGF,102,128,181,283,222,419,177,255,151,185,83,101
TBV,87,119,270,405,157,403,144,218,108,154,112,134
THW,128,158,261,374,233,486,132,200,159,217,116,134
TVB,91,122,253,370,198,447,141,219,152,201,96,119
WET,91,107,255,414,177,404,126,197,137,169,108,133
